records,due,variant,run,median_ns,p95_ns
65,65,ExistingSerial,0,18000,18900
65,65,CollectedSerial,0,11200,11700
65,65,Job,0,19100,22500
65,65,ExistingSerial,1,18500,19200
65,65,CollectedSerial,1,11400,12200
65,65,Job,1,19700,22300
65,65,ExistingSerial,2,18000,18700
65,65,CollectedSerial,2,11300,11900
65,65,Job,2,18700,21900
256,0,ExistingSerial,0,1400,1500
256,0,CollectedSerial,0,1400,1500
256,0,Job,0,11100,190300
256,0,ExistingSerial,1,1300,1500
256,0,CollectedSerial,1,1400,1500
256,0,Job,1,10900,33900
256,0,ExistingSerial,2,1400,1500
256,0,CollectedSerial,2,1400,1400
256,0,Job,2,11000,20500
256,25,ExistingSerial,0,32700,37100
256,25,CollectedSerial,0,5300,6800
256,25,Job,0,20400,182000
256,25,ExistingSerial,1,32600,34400
256,25,CollectedSerial,1,5100,5500
256,25,Job,1,20600,37200
256,25,ExistingSerial,2,32200,34100
256,25,CollectedSerial,2,5100,5500
256,25,Job,2,16900,194600
256,256,ExistingSerial,0,215700,231900
256,256,CollectedSerial,0,104500,108700
256,256,Job,0,125600,336500
256,256,ExistingSerial,1,221000,231100
256,256,CollectedSerial,1,100500,111500
256,256,Job,1,126000,137300
256,256,ExistingSerial,2,215600,231400
256,256,CollectedSerial,2,100500,111400
256,256,Job,2,124900,128900
